height,weight,chest_circ,tshirt_size,color
1731,714,97.1,Medium,blue
1669,762,96.6,Medium,blue
1640,556,80.0,2X-Small,pink
1613,561,81.2,2X-Small,pink
1640,641,94.6,Small,red
1581,766,100.8,Medium,blue
1664,702,97.1,Medium,blue
1562,561,91.8,Small,red
1722,812,98.7,Medium,blue
1564,725,96.9,Medium,blue
1589,686,97.9,Medium,blue
1789,924,101.7,Medium,blue
1608,662,105.8,Large,lawngreen
1595,562,88.7,Extra Small,yellow
1590,564,85.9,Extra Small,yellow
1575,653,98.0,Medium,blue
1539,679,103.7,Large,lawngreen
1654,777,98.4,Medium,blue
1616,632,95.9,Medium,blue
1646,697,98.8,Medium,blue
1548,681,90.0,Small,red
1617,570,82.7,2X-Small,pink
1527,742,108.9,Large,lawngreen
1653,589,89.5,Extra Small,yellow
1606,750,102.4,Large,lawngreen
1700,744,94.8,Small,red
1672,815,113.1,X-Large,green
1728,765,98.8,Medium,blue
1677,827,109.8,Large,lawngreen
1790,793,103.3,Large,lawngreen
1643,735,96.0,Medium,blue
1584,620,95.5,Medium,blue
1583,659,102.3,Large,lawngreen
1640,705,100.0,Medium,blue
1562,493,86.6,Extra Small,yellow
1650,643,88.1,Extra Small,yellow
1656,654,95.0,Medium,blue
1624,655,102.0,Large,lawngreen
1631,856,115.9,X-Large,green
1715,632,86.6,Extra Small,yellow
1607,648,90.8,Small,red
1600,604,88.3,Extra Small,yellow
1571,702,99.3,Medium,blue
1603,659,92.0,Small,red
1599,771,112.2,X-Large,green
1602,524,82.9,2X-Small,pink
1642,685,92.5,Small,red
1715,1017,109.6,Large,lawngreen
1634,487,86.2,Extra Small,yellow
1657,824,105.9,Large,lawngreen
1626,724,108.6,Large,lawngreen
1536,617,96.8,Medium,blue
1698,696,90.8,Small,red
1652,753,95.6,Medium,blue
1611,785,104.3,Large,lawngreen
1764,812,100.3,Medium,blue
1586,485,82.5,2X-Small,pink
1592,595,89.9,Extra Small,yellow
1782,740,95.8,Medium,blue
1708,799,102.8,Large,lawngreen
1650,645,95.7,Medium,blue
1612,725,100.7,Medium,blue
1660,600,84.2,Extra Small,yellow
1629,630,88.4,Extra Small,yellow
1630,762,99.2,Medium,blue
1743,696,91.3,Small,red
1688,818,115.2,X-Large,green
1580,508,83.6,2X-Small,pink
1610,665,95.7,Medium,blue
1556,400,75.7,2X-Small,pink
1585,736,98.5,Medium,blue
1685,770,103.6,Large,lawngreen
1592,630,94.3,Small,red
1698,761,96.0,Medium,blue
1648,690,87.5,Extra Small,yellow
1575,573,87.9,Extra Small,yellow
1602,617,93.5,Small,red
1669,663,88.6,Extra Small,yellow
1637,850,101.8,Medium,blue
1690,601,92.9,Small,red
1664,655,93.5,Small,red
1710,716,93.2,Small,red
1596,611,90.6,Small,red
1656,1000,115.0,X-Large,green
1586,791,99.1,Medium,blue
1653,676,100.0,Medium,blue
1661,740,104.5,Large,lawngreen
1495,501,86.2,Extra Small,yellow
1633,587,90.0,Small,red
1652,696,97.6,Medium,blue
1596,599,89.9,Extra Small,yellow
1715,809,100.3,Medium,blue
1724,788,99.5,Medium,blue
1741,797,95.5,Medium,blue
1707,746,91.0,Small,red
1684,740,94.5,Small,red
1586,569,89.2,Extra Small,yellow
1611,829,106.6,Large,lawngreen
1658,770,104.0,Large,lawngreen
1673,751,98.0,Medium,blue
1770,889,110.0,Large,lawngreen
1574,661,87.2,Extra Small,yellow
